DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
239,Plymouth,S&P,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
242,Provincetown,S&P,A,A,A,A,A,A,A,A,AA-,AA-,AA-,AA-,AA,AA,AA,AA+,AA+,AA+,AA+
243,Quincy,S&P,A-,A-,A-,A-,A,A+,A+,A+,A+,A+,A+,A+,AA+,AA+,AA+,AA+,AA+,AA,AA
244,Randolph,S&P,A+,A+,A+,A,A,A,A-,A-,A-,A-,A+,A+,AA-,AA-,AA,AA,AA,AA,AA
246,Reading,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
258,Salem,S&P,A+ (SPUR),A+,A+,A+,A+,A-,A-,A-,A,A,A,A,AA,AA,AA,AA,AA,AA,AA
261,Sandwich,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
265,Seekonk,S&P,A (SPUR),A,A,A,A+,A,A,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
270,Shirley,S&P,A,A,A,A,A,A,A,A,A,A,A,A,AA-,AA-,AA-,AA-,AA,AA,AA
274,Somerville,S&P,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AAA
281,Springfield,S&P,BBB+,BBB,BBB+,-,-,,BBB,BBB,BBB,BBB,A-,A-,AA-,AA-,AA-,AA-,AA-,AA-,AA-
